,encoding_dim,layer_type,learning_mode,train_acc,validation_acc,test_acc,train_acc_knn,validation_acc_knn,test_acc_knn,frac
0,128,conv1d,freeze,0.16666666666666666,0.16666666666666666,0.125,0.3333333333333333,0.3333333333333333,0.20833333333333334,0.1
1,128,conv1d,freeze,0.5,0.5833333333333334,0.5416666666666666,0.8333333333333334,0.3333333333333333,0.5,0.2
2,128,conv1d,freeze,0.5555555555555556,0.4166666666666667,0.5416666666666666,0.6666666666666666,0.5416666666666666,0.5416666666666666,0.3
3,128,conv1d,freeze,0.625,0.4583333333333333,0.5,0.8333333333333334,0.4166666666666667,0.5833333333333334,0.4
4,128,conv1d,freeze,0.5333333333333333,0.4583333333333333,0.5,0.8,0.4583333333333333,0.5416666666666666,0.5
5,128,conv1d,freeze,0.4722222222222222,0.5833333333333334,0.625,0.8888888888888888,0.5,0.4583333333333333,0.6
6,128,conv1d,freeze,0.5853658536585366,0.5,0.5,0.8536585365853658,0.4166666666666667,0.5833333333333334,0.7
7,128,conv1d,freeze,0.625,0.5416666666666666,0.5,0.8958333333333334,0.3333333333333333,0.4583333333333333,0.8
8,128,conv1d,freeze,0.6111111111111112,0.5,0.5,0.8888888888888888,0.4166666666666667,0.5416666666666666,0.9
9,128,conv1d,freeze,0.5666666666666667,0.4583333333333333,0.5,0.9,0.4583333333333333,0.5416666666666666,1.0
