encoding_dim,layer_type,learning_mode,train_acc,validation_acc,train_acc_knn,validation_acc_knn
32,conv1d,supervised,0.3,0.2916666666666667,0.9,0.4583333333333333
32,conv1d,finetune,0.55,0.5,0.8,0.5833333333333334
32,conv1d,freeze,0.16666666666666666,0.16666666666666666,0.8833333333333333,0.4583333333333333
32,mlp,supervised,0.7,0.375,0.9333333333333333,0.4583333333333333
32,mlp,finetune,0.8,0.4583333333333333,0.9333333333333333,0.5
32,mlp,freeze,0.36666666666666664,0.25,0.75,0.5416666666666666
64,conv1d,supervised,0.5666666666666667,0.25,0.8833333333333333,0.5833333333333334
64,conv1d,finetune,0.7,0.4166666666666667,0.9,0.625
64,conv1d,freeze,0.4666666666666667,0.4583333333333333,0.8666666666666667,0.5833333333333334
64,mlp,supervised,0.8,0.4583333333333333,0.95,0.7083333333333334
64,mlp,finetune,0.8666666666666667,0.5,0.9666666666666667,0.5416666666666666
64,mlp,freeze,0.16666666666666666,0.16666666666666666,0.7666666666666667,0.375
128,conv1d,supervised,0.7666666666666667,0.625,0.9666666666666667,0.5833333333333334
128,conv1d,finetune,0.7166666666666667,0.6666666666666666,0.9,0.6666666666666666
128,conv1d,freeze,0.6,0.5416666666666666,0.8666666666666667,0.7083333333333334
128,mlp,supervised,0.8333333333333334,0.5,0.95,0.5416666666666666
128,mlp,finetune,0.8333333333333334,0.625,0.9166666666666666,0.6666666666666666
128,mlp,freeze,0.6333333333333333,0.4166666666666667,0.6166666666666667,0.4166666666666667
256,conv1d,supervised,0.5666666666666667,0.375,0.9333333333333333,0.625
256,conv1d,finetune,0.7,0.5,0.95,0.5416666666666666
256,conv1d,freeze,0.6333333333333333,0.5833333333333334,0.7833333333333333,0.5416666666666666
256,mlp,supervised,0.8333333333333334,0.5416666666666666,0.9333333333333333,0.5833333333333334
256,mlp,finetune,0.8333333333333334,0.5,0.9833333333333333,0.625
256,mlp,freeze,0.6166666666666667,0.5,0.6333333333333333,0.4166666666666667
